model,split,n,prevalence,auroc,auprc,brier,ece,sens_at_spec80,sens_at_spec85,sens_at_spec90,spec_at_sens90,spec_at_sens95,alarms_per_1000h,normalized_utility,mean_lead_time_h,n_alarmed_septic_patients
qsofa,test,117266,0.013763580236385653,0.5394662521298887,0.015158733278373051,0.1261085867881775,0.20210035304350793,0.43804213135068154,0.05328376703841388,0.05328376703841388,0.0,0.0,1000.0,-0.9560113960113923,53.09293680297398,269
qsofa,external_test,758026,0.008985179927865272,0.5671220584284156,0.011115427589860307,0.1039288192987442,0.17139187837884187,0.43649977976802234,0.06695052121568051,0.06695052121568051,0.0,0.0,1000.0,-2.180946201758693,55.6199649737303,1142
news2,test,117266,0.013763580236385653,0.5899028806712407,0.018480229892561734,0.06271477788686752,0.16549838833471356,0.28810408921933084,0.28810408921933084,0.17038413878562578,0.19014803029778993,0.0,810.6441764876434,-0.716779571594382,27.929368029739777,269
news2,external_test,758026,0.008985179927865272,0.6418474282302322,0.01441632064491621,0.058670561760663986,0.15894336621691485,0.33166935839083833,0.33166935839083833,0.22067244163852592,0.21889206152699292,0.0,782.1657832317097,-1.5795946303533666,29.569176882661996,1142
logreg,test,117266,0.013763580236385653,0.7700115365538567,0.04654368001018672,0.18719962239265442,0.3676012359063155,0.5718711276332095,0.4913258983890954,0.40148698884758366,0.42633936291633523,0.28143049839172696,487.83108488393907,-0.012613696317395354,38.80597014925373,268
logreg,external_test,758026,0.008985179927865272,0.6444741561444405,0.02610927156129158,0.12933962047100067,0.2910873830486807,0.434737923946557,0.3765966818382029,0.3074438408456908,0.13624461705370627,0.06747335982375224,802.7653405028324,-1.6783407629050526,46.566170026292724,1141
xgboost,test,117266,0.013763580236385653,0.8066448014084555,0.05816906398202921,0.11733898520469666,0.2566481746294657,0.6505576208178439,0.573729863692689,0.4851301115241636,0.49568533185764185,0.3595614429495383,417.07741374311394,0.13263902078716944,34.774436090225564,266
xgboost,external_test,758026,0.008985179927865272,0.6868844130121888,0.02904219363495026,0.07464570552110672,0.17788786491437558,0.48392306562912935,0.4219644692409338,0.34826016737630305,0.186983752986828,0.10602956543732489,716.2762227153158,-1.391753684253361,43.11393514460999,1141
lightgbm,test,117266,0.013763580236385653,0.781623705560985,0.057898047217009294,0.11282240599393845,0.23734218604816099,0.6071871127633209,0.5322180916976456,0.4399008674101611,0.4169923563794833,0.29125306955348806,475.58542117919944,0.007278674686085614,33.52238805970149,268
lightgbm,external_test,758026,0.008985179927865272,0.6650577460784268,0.025826548147430586,0.06640271842479706,0.15415189528643522,0.4387020995448539,0.3826163558948759,0.30832476875642345,0.1654146948609918,0.0930412731375172,765.9790033587238,-1.5580941621885596,44.97020157756354,1141
tinysepsis,test,117266,0.013763580471277237,0.7263119637080708,0.03597046456590659,0.16808007657527924,0.2918436069912165,0.4714993804213135,0.3754646840148699,0.2757125154894672,0.3699979248089095,0.26862484003735343,541.2481026043355,-0.14102564102563933,33.19402985074627,268
tinysepsis,external_test,758026,0.008985179476439953,0.6788934740285414,0.019699050740499734,0.18916992843151093,0.32412776813491434,0.41755982968727057,0.34238731463808547,0.26589340772280134,0.2432632468733984,0.126881119253476,661.5142488516225,-1.2045121926396176,42.40490797546012,1141
